
[2026-04-14T01:22:08.4348772+08:00] ===== Sts2MapMod session start =====
[2026-04-14T01:22:08.4527182+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4535205+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4543777+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4551301+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4558536+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4566381+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4574893+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4585494+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4594511+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4601813+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
